pattern,Position,DeterministicFollow,DeterministicPosition,Follow,MarkBefore
wdeey,5,6,6,6,5
lehyy,5,6,6,6,5
jpvnb,5,6,6,6,5
ecmap,5,6,6,6,5
gndgc*,5,5,6,5,5
td|ph*x*,5,5,6,5,4
uqvat,5,6,6,6,5
opm|mz,5,5,6,5,4
gelqe,5,6,6,6,5
jk(spq)*,5,5,6,5,5
e|tlua,5,5,6,5,4
topwv,5,6,6,6,5
(q|q)vtt,5,5,5,5,4
lt|h|fl,5,4,6,4,3
kuvt|l,5,5,6,5,4
joeqy,5,6,6,6,5
xjyib,5,6,6,6,5
fdf|nm,5,5,6,5,4
xmbes,5,6,6,6,5
e|jhch,5,5,6,5,4
vzsf*u,5,5,6,5,4
ee*il*o*,5,4,6,4,4
oabdd*,5,5,6,5,5
(wue)*ny,5,5,6,5,4
q(ra)*(ls)*,5,5,6,5,5
(izvur)*,5,5,6,5,5
(an)*hai,5,5,6,5,4
ulpfg,5,6,6,6,5
qx(bed)*,5,5,6,5,5
(tmj*)*hz,5,5,6,5,4
w(df*)*xi,5,5,6,5,4
(jy*)*eux,5,5,6,5,4
(h(wd*)*bo)*,5,4,6,4,4
zw*|l*yi*,5,4,6,4,4
n(qe)*kl*,5,4,6,4,4
(zjg(ka)*)*,5,5,6,5,5
(e|(fa)*ef)*,5,6,7,4,6
tzvmc*,5,5,6,5,5
du*|(t|e*|p),5,4,6,4,3
omejw,5,6,6,6,5
czzzc,5,6,6,6,5
g*rgrg,5,5,6,5,4
vvs*(vv)*,5,5,6,5,5
oo*of*o*,5,6,6,4,5
(pu(u|pp*)*)*,5,4,7,4,4
(ss)*(sss)*,5,7,7,5,6
uaua*a,5,5,5,5,5
uuukk,5,6,6,6,5
nen*ne,5,5,5,5,4
b|bfbf,5,5,5,5,4
(jdlvl)*,5,5,6,5,5
cdugd,5,6,6,6,5
ox|i(ix)*,5,5,6,5,4
ipaip,5,6,6,6,5
(v(kk)*v|k*)*,5,3,6,3,3
j(x*x(zz)*)*,5,5,5,5,4
(m*zmdm)*,5,5,6,5,5
o*x*oxt,5,7,7,5,6
ivmhm,5,6,6,6,5
su|ujj,5,5,6,5,4
jxjfp,5,6,6,6,5
qtg(gm*)*,5,5,6,5,5
x*c*(i(x*b)*)*,5,4,6,4,4
(jkukh)*,5,5,6,5,5
rknko,5,6,6,6,5
df(h*|vr),5,6,6,6,5
dads*l*,5,5,6,5,5
t*jvto,5,5,6,5,4
fxixd,5,6,6,6,5
(xdo)*f|j,5,5,6,5,4
